"number";"player";"position";"min";"shots";"goals";"key_passes";"assists";"xG";"xA"
1;"Zion Suzuki";"GK";90;0;0;0;0;0;0
2;"Matthew Cash";"DR";79;1;0;0;0;0.08;0
3;"Pau Torres";"DC";90;0;0;0;0;0;0
4;"Victor Lindelöf";"DC";90;0;0;0;0;0;0
5;"Ian Maatsen";"DL";90;2;0;0;0;0.08;0
6;"Boubacar Kamara";"DMC";90;0;0;1;0;0;0.03
7;"Ross Barkley";"DMC";79;1;0;2;0;0.04;0.08
8;"John McGinn";"AMR";90;2;0;1;0;0.06;0.08
9;"Emiliano Buendía";"AMC";90;1;0;1;0;0.03;0.02
10;"George Hemmings";"AML";72;0;0;0;0;0;0
11;"Nicolas Jackson";"FW";72;0;0;0;0;0;0
12;"Alejandro Garnacho";"Sub";11;0;0;0;0;0;0
13;"Alysson Edward";"Sub";18;0;0;0;0;0;0
14;"Aaron Wan-Bissaka";"Sub";11;0;0;0;0;0;0
15;"Tammy Abraham";"Sub";18;0;0;0;0;0;0
